"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","depth","light","DO.sat.EXO","solar.time"
"1",1,2227,2019-05-31 15:45:00,9.769,91.3,92.1,10.36,380.391818589018,0.338806663107057,194.768,11.3472070098576,2019-05-31 13:58:57
"2",1,2228,2019-05-31 16:00:00,9.79,91.3,92.1,10.3581818181818,380.391818589018,0.338806663107057,265.327,11.3452155730359,2019-05-31 14:13:57
"3",1,2229,2019-05-31 16:15:00,9.797,91.3,92,10.35,380.391818589018,0.338806663107057,164.983,11.3362541073384,2019-05-31 14:28:57
"4",1,2230,2019-05-31 16:30:00,9.79,91.2,91.9,10.34,384.087872380689,0.339774909049379,142.265,11.3377192982456,2019-05-31 14:43:57
"5",1,2231,2019-05-31 16:45:00,9.79136363636364,91.2,91.9,10.34,382.239845484854,0.339290786078218,176.527,11.3377192982456,2019-05-31 14:58:57
"6",1,2232,2019-05-31 17:00:00,9.78,91.1,91.8363636363636,10.3336363636364,382.239845484854,0.339290786078218,151.182,11.3431793234209,2019-05-31 15:13:57
"7",1,2233,2019-05-31 17:15:00,9.76,91,91.8,10.33,382.239845484854,0.339290786078218,93.61,11.3516483516484,2019-05-31 15:28:57
"8",1,2234,2019-05-31 17:30:00,9.72945454545455,90.9181818181818,91.7,10.33,384.087872380689,0.339774909049379,80.253,11.3618638136186,2019-05-31 15:43:57
"9",1,2235,2019-05-31 17:45:00,9.63309090909091,90.6,91.4,10.32,382.239845484854,0.339290786078218,48.581,11.3907284768212,2019-05-31 15:58:57
"10",1,2236,2019-05-31 18:00:00,9.648,90.7,91.4272727272727,10.32,389.631953068196,0.341227277962862,91.834,11.3781697905182,2019-05-31 16:13:57
"11",1,2237,2019-05-31 18:15:00,9.63218181818182,90.7,91.4,10.32,384.087872380689,0.339774909049379,64.898,11.3781697905182,2019-05-31 16:28:57
"12",1,2238,2019-05-31 18:30:00,9.586,90.6,91.3,10.32,380.391818589018,0.338806663107057,53.243,11.3907284768212,2019-05-31 16:43:57
"13",1,2239,2019-05-31 18:45:00,9.55045454545455,90.5,91.2,10.32,384.087872380689,0.339774909049379,31.339,11.4033149171271,2019-05-31 16:58:57
"14",1,2240,2019-05-31 19:00:00,9.527,90.4,91.1545454545455,10.32,385.935899276525,0.34025903202054,31.006,11.4159292035398,2019-05-31 17:13:57
"15",1,2241,2019-05-31 19:15:00,9.502,90.3272727272727,91.1,10.3154545454545,385.935899276525,0.34025903202054,33.744,11.4200885668277,2019-05-31 17:28:57
"16",1,2242,2019-05-31 19:30:00,9.48127272727273,90.2818181818182,91,10.31,387.78392617236,0.340743154991701,28.971,11.419796596516,2019-05-31 17:43:57
"17",1,2243,2019-05-31 19:45:00,9.46427272727273,90.2,90.9636363636364,10.31,384.087872380689,0.339774909049379,49.321,11.430155210643,2019-05-31 17:58:57
"18",1,2244,2019-05-31 20:00:00,9.441,90.1727272727273,90.9,10.31,391.479979964032,0.341711400934023,28.12,11.4336122593003,2019-05-31 18:13:57
"19",1,2245,2019-05-31 20:15:00,9.426,90.1,90.8,10.31,387.78392617236,0.340743154991701,50.764,11.4428412874584,2019-05-31 18:28:57
"20",1,2246,2019-05-31 20:30:00,9.407,90.0545454545454,90.8,10.3054545454545,387.78392617236,0.340743154991701,34.04,11.4435695538057,2019-05-31 18:43:57
"21",1,2247,2019-05-31 20:45:00,9.38409090909091,90,90.7,10.3,385.935899276525,0.34025903202054,25.826,11.4444444444444,2019-05-31 18:58:57
"22",1,2248,2019-05-31 21:00:00,9.359,89.9,90.6818181818182,10.3,387.78392617236,0.340743154991701,20.683,11.4571746384872,2019-05-31 19:13:57
"23",1,2249,2019-05-31 21:15:00,9.32818181818182,89.9,90.6,10.3,391.479979964032,0.341711400934023,14.689,11.4571746384872,2019-05-31 19:28:57
"24",1,2250,2019-05-31 21:30:00,9.304,89.8,90.6,10.3072727272727,389.631953068196,0.341227277962862,12.025,11.4780319902814,2019-05-31 19:43:57
"25",1,2251,2019-05-31 21:45:00,9.28327272727273,89.8,90.5,10.3,393.328006859867,0.342195523905184,11.47,11.4699331848552,2019-05-31 19:58:57
"26",1,2252,2019-05-31 22:00:00,9.26681818181818,89.7,90.4,10.3,398.872087547374,0.343647892818667,8.732,11.4827201783724,2019-05-31 20:13:57
"27",1,2253,2019-05-31 22:15:00,9.249,89.7,90.4,10.3,397.024060651539,0.343163769847506,6.327,11.4827201783724,2019-05-31 20:28:57
"28",1,2254,2019-05-31 22:30:00,9.231,89.6,90.3,10.3,397.024060651539,0.343163769847506,5.032,11.4955357142857,2019-05-31 20:43:57
