"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","depth","light","DO.sat.EXO","solar.time"
"1",1,2696,2019-06-07 17:45:00,5.07218181818182,94.4454545454546,94.4454545454546,12.0254545454545,273.72928202827,0.694454496458269,585.792,12.7326980460101,2019-06-07 15:58:57
"2",1,2697,2019-06-07 18:00:00,5.06227272727273,94.3727272727273,94.3727272727273,12.0190909090909,289.012252636302,0.711501308900524,700.672,12.7357672671226,2019-06-07 16:13:57
"3",1,2698,2019-06-07 18:15:00,5.059,94.4090909090909,94.4090909090909,12.0254545454545,311.936708548351,0.737071527563906,808.8,12.7376023110255,2019-06-07 16:28:57
"4",1,2699,2019-06-07 18:30:00,5.04445454545455,94.6272727272727,94.6272727272727,12.0554545454545,329.766840924388,0.756959475413202,783.776,12.7399365933326,2019-06-07 16:43:57
"5",1,2700,2019-06-07 18:45:00,5.04209090909091,94.8,94.8,12.08,356.512039488445,0.786791397187148,741.28,12.7426160337553,2019-06-07 16:58:57
"6",1,2701,2019-06-07 19:00:00,5.10554545454545,94.8454545454545,94.8454545454545,12.0672727272727,388.351561588512,0.822305589775177,830.752,12.7230901945749,2019-06-07 17:13:57
"7",1,2702,2019-06-07 19:15:00,5.01190909090909,94.9181818181818,94.9181818181818,12.1045454545455,421.464664572582,0.859240350066728,786.912,12.752609903266,2019-06-07 17:28:57
"8",1,2703,2019-06-07 19:30:00,4.77109090909091,94.9,94.9,12.18,435.474054296612,0.874866594805462,567.008,12.8345626975764,2019-06-07 17:43:57
"9",1,2704,2019-06-07 19:45:00,4.673,94.9727272727273,94.9727272727273,12.2172727272727,445.662701368633,0.886231136433631,519.488,12.863980089978,2019-06-07 17:58:57
"10",1,2705,2019-06-07 20:00:00,4.64890909090909,95.3,95.3,12.27,450.757024904644,0.891913407247716,428.256,12.8751311647429,2019-06-07 18:13:57
"11",1,2706,2019-06-07 20:15:00,4.56163636363636,95.8,95.8,12.3609090909091,445.662701368633,0.886231136433631,286.208,12.9028278610742,2019-06-07 18:28:57
"12",2,2707,2019-06-07 20:30:00,4.49232727272727,95.8199834123168,NA,12.3768484848485,445.662701368633,0.886231136433631,284.544,12.9167716838256,2019-06-07 18:43:57
"13",2,2708,2019-06-07 20:45:00,4.42301818181818,95.8734406090529,NA,12.3927878787879,448.209863136639,0.889072271840674,173.6,12.9261949921277,2019-06-07 18:58:57
"14",2,2709,2019-06-07 21:00:00,4.35370909090909,95.8923562949501,NA,12.4087272727273,446.936282252636,0.887651704137153,115.84,12.9402673499439,2019-06-07 19:13:57
"15",2,2710,2019-06-07 21:15:00,4.2844,95.8811137319669,NA,12.4246666666667,446.936282252636,0.887651704137153,102.72,12.9584087867393,2019-06-07 19:28:57
"16",2,2711,2019-06-07 21:30:00,4.21509090909091,95.844096182062,NA,12.4406060606061,445.662701368633,0.886231136433631,101.696,12.9800442136512,2019-06-07 19:43:57
"17",2,2712,2019-06-07 21:45:00,4.14578181818182,95.7856869071938,NA,12.4565454545455,443.115539600628,0.883390001026589,86.56,13.004600015673,2019-06-07 19:58:57
"18",2,2713,2019-06-07 22:00:00,4.07647272727273,95.710269169321,NA,12.4724848484849,440.568377832623,0.880548865619547,68.448,13.0315011719587,2019-06-07 20:13:57
"19",2,2714,2019-06-07 22:15:00,4.00716363636363,95.6222262304021,NA,12.4884242424242,434.200473412609,0.873446027101941,58.24,13.0601688903721,2019-06-07 20:28:57
"20",2,2715,2019-06-07 22:30:00,3.93785454545454,95.5259413523958,NA,12.5043636363636,431.653311644604,0.870604891694899,49.088,13.0900187523251,2019-06-07 20:43:57
"21",2,2716,2019-06-07 22:45:00,3.86854545454545,95.4257977972604,NA,12.520303030303,434.200473412609,0.873446027101941,42.624,13.1204593719021,2019-06-07 20:58:57
"22",2,2717,2019-06-07 23:00:00,3.79923636363636,95.3261788269547,NA,12.5362424242424,429.106149876598,0.867763756287856,34.048,13.150891579321,2019-06-07 21:13:57
"23",2,2718,2019-06-07 23:15:00,3.72992727272727,95.2314677034372,NA,12.5521818181818,422.738245456585,0.86066091777025,28.576,13.1807081428913,2019-06-07 21:28:57
"24",2,2719,2019-06-07 23:30:00,3.66061818181818,95.1460476886665,NA,12.5681212121212,422.738245456585,0.86066091777025,23.712,13.2092940457665,2019-06-07 21:43:57
"25",2,2720,2019-06-07 23:45:00,3.59130909090909,95.074302044601,NA,12.5840606060606,422.738245456585,0.86066091777025,17.856,13.2360273338186,2019-06-07 21:58:57
"26",3,2721,2019-06-08 00:00:00,3.522,95,95,12.6,416.370341036571,0.853558079252643,11.84,13.2631578947368,2019-06-07 22:13:57
"27",3,2722,2019-06-08 00:15:00,3.518,95.0727272727273,95.0727272727273,12.61,410.002436616558,0.846455240735038,7.84,13.2635303117231,2019-06-07 22:28:57
"28",3,2723,2019-06-08 00:30:00,3.518,95.1,95.1,12.61,406.18169396455,0.842193537624474,5.536,13.2597266035752,2019-06-07 22:43:57
"29",3,2724,2019-06-08 00:45:00,3.513,95.1,95.1,12.62,406.18169396455,0.842193537624474,4.128,13.2702418506835,2019-06-07 22:58:57
"30",3,2725,2019-06-08 01:00:00,3.50327272727273,95.2,95.2,12.63,401.087370428539,0.836511266810389,3.232,13.2668067226891,2019-06-07 23:13:57
"31",3,2726,2019-06-08 01:15:00,3.491,95.2,95.2,12.64,402.360951312542,0.837931834513911,2.528,13.2773109243697,2019-06-07 23:28:57
"32",3,2727,2019-06-08 01:30:00,3.476,95.2272727272727,95.2272727272727,12.65,395.993046892528,0.830828995996304,2.144,13.2840095465394,2019-06-07 23:43:57
"33",3,2728,2019-06-08 01:45:00,3.46290909090909,95.2,95.2,12.65,393.445885124523,0.827987860589262,1.984,13.2878151260504,2019-06-07 23:58:57
"34",3,2729,2019-06-08 02:00:00,3.45,95.2,95.2,12.6572727272727,389.625142472515,0.823726157478699,1.984,13.2954545454545,2019-06-08 00:13:57
