"","datetimeAK","temp.water.CDS","DO.obs.CDS","temp.water.CUS","DO.obs.CUS","Site"
"1",2022-05-27 18:30:00,2.901,12.169,2.911,12.295,"CRAW"
"2",2022-05-27 18:45:00,2.869,12.171,2.88,12.323,"CRAW"
"3",2022-05-27 19:00:00,2.89,12.149,2.869,12.309,"CRAW"
"4",2022-05-27 19:15:00,2.88,12.148,2.849,12.304,"CRAW"
"5",2022-05-27 19:30:00,2.838,12.172,2.838,12.302,"CRAW"
"6",2022-05-27 19:45:00,2.849,12.161,2.807,12.312,"CRAW"
"7",2022-05-27 20:00:00,2.817,12.157,2.775,12.325,"CRAW"
"8",2022-05-27 20:15:00,2.807,12.174,2.775,12.302,"CRAW"
"9",2022-05-27 20:30:00,2.765,12.183,2.755,12.307,"CRAW"
"10",2022-05-27 20:45:00,2.744,12.18,2.723,12.302,"CRAW"
"11",2022-05-27 21:00:00,2.692,12.19,2.713,12.295,"CRAW"
"12",2022-05-27 21:15:00,2.661,12.185,2.639,12.321,"CRAW"
"13",2022-05-27 21:30:00,2.608,12.204,2.545,12.339,"CRAW"
"14",2022-05-27 21:45:00,2.525,12.219,2.493,12.354,"CRAW"
"15",2022-05-27 22:00:00,2.472,12.234,2.419,12.367,"CRAW"
"16",2022-05-27 22:15:00,2.409,12.265,2.387,12.38,"CRAW"
"17",2022-05-27 22:30:00,2.367,12.277,2.345,12.4,"CRAW"
"18",2022-05-27 22:45:00,2.283,12.285,2.282,12.409,"CRAW"
"19",2022-05-27 23:00:00,2.23,12.31,2.218,12.421,"CRAW"
"20",2022-05-27 23:15:00,2.167,12.32,2.155,12.44,"CRAW"
"21",2022-05-27 23:30:00,2.124,12.337,2.102,12.46,"CRAW"
"22",2022-05-27 23:45:00,2.05,12.36,2.017,12.496,"CRAW"
"23",2022-05-28 00:00:00,1.966,12.38,1.985,12.492,"CRAW"
"24",2022-05-28 00:15:00,1.891,12.405,1.868,12.536,"CRAW"
"25",2022-05-28 00:30:00,1.827,12.406,1.804,12.546,"CRAW"
"26",2022-05-28 00:45:00,1.753,12.436,1.73,12.554,"CRAW"
"27",2022-05-28 01:00:00,1.646,12.459,1.644,12.571,"CRAW"
"28",2022-05-28 01:15:00,1.593,12.46,1.569,12.583,"CRAW"
"29",2022-05-28 01:30:00,1.529,12.469,1.483,12.607,"CRAW"
"30",2022-05-28 01:45:00,1.432,12.513,1.43,12.627,"CRAW"
"31",2022-05-28 02:00:00,1.389,12.522,1.354,12.66,"CRAW"
"32",2022-05-28 02:15:00,1.303,12.557,1.322,12.679,"CRAW"
"33",2022-05-28 02:30:00,1.239,12.596,1.246,12.708,"CRAW"
"34",2022-05-28 02:45:00,1.206,12.614,1.182,12.743,"CRAW"
"35",2022-05-28 03:00:00,1.131,12.654,1.117,12.761,"CRAW"
"36",2022-05-28 03:15:00,1.066,12.684,1.03,12.804,"CRAW"
"37",2022-05-28 03:30:00,0.969,12.745,0.965,12.843,"CRAW"
"38",2022-05-28 03:45:00,0.903,12.755,0.889,12.865,"CRAW"
"39",2022-05-28 04:00:00,0.849,12.765,0.824,12.896,"CRAW"
"40",2022-05-28 04:15:00,0.784,12.798,0.747,12.917,"CRAW"
"41",2022-05-28 04:30:00,0.73,12.808,0.682,12.933,"CRAW"
"42",2022-05-28 04:45:00,0.664,12.828,0.627,12.957,"CRAW"
"43",2022-05-28 05:00:00,0.61,12.844,0.594,12.959,"CRAW"
"44",2022-05-28 05:15:00,0.588,12.854,0.562,12.973,"CRAW"
"45",2022-05-28 05:30:00,0.544,12.874,0.518,12.999,"CRAW"
"46",2022-05-28 05:45:00,0.533,12.853,0.496,12.997,"CRAW"
"47",2022-05-28 06:00:00,0.5,12.873,0.474,13.002,"CRAW"
"48",2022-05-28 06:15:00,0.489,12.86,0.463,13.003,"CRAW"
"49",2022-05-28 06:30:00,0.468,12.885,0.43,13.008,"CRAW"
"50",2022-05-28 06:45:00,0.446,12.878,0.43,13.021,"CRAW"
"51",2022-05-28 07:00:00,0.446,12.883,0.397,13.04,"CRAW"
"52",2022-05-28 07:15:00,0.424,12.89,0.408,13.024,"CRAW"
"53",2022-05-28 07:30:00,0.413,12.888,0.386,13.034,"CRAW"
"54",2022-05-28 07:45:00,0.435,12.868,0.408,13.016,"CRAW"
"55",2022-05-28 08:00:00,0.457,12.857,0.43,12.999,"CRAW"
"56",2022-05-28 08:15:00,0.457,12.861,0.474,12.967,"CRAW"
"57",2022-05-28 08:30:00,0.511,12.85,0.485,12.992,"CRAW"
"58",2022-05-28 08:45:00,0.533,12.87,0.507,13.015,"CRAW"
"59",2022-05-28 09:00:00,0.577,12.856,0.54,13.013,"CRAW"
"60",2022-05-28 09:15:00,0.621,12.833,0.616,12.979,"CRAW"
"61",2022-05-28 09:30:00,0.697,12.793,0.671,12.965,"CRAW"
"62",2022-05-28 09:45:00,0.74,12.806,0.758,12.908,"CRAW"
"63",2022-05-28 10:00:00,0.86,12.813,0.835,12.943,"CRAW"
"64",2022-05-28 10:15:00,0.958,12.792,0.867,12.948,"CRAW"
"65",2022-05-28 10:30:00,1.001,12.772,0.987,12.909,"CRAW"
"66",2022-05-28 10:45:00,1.066,12.765,1.106,12.877,"CRAW"
"67",2022-05-28 11:00:00,1.249,12.719,1.203,12.876,"CRAW"
"68",2022-05-28 11:15:00,1.357,12.692,1.333,12.832,"CRAW"
"69",2022-05-28 11:30:00,1.486,12.647,1.419,12.798,"CRAW"
"70",2022-05-28 11:45:00,1.614,12.622,1.548,12.783,"CRAW"
"71",2022-05-28 12:00:00,1.742,12.603,1.73,12.747,"CRAW"
"72",2022-05-28 12:15:00,1.881,12.56,1.804,12.746,"CRAW"
"73",2022-05-28 12:30:00,2.04,12.531,1.975,12.694,"CRAW"
"74",2022-05-28 12:45:00,2.135,12.504,2.07,12.676,"CRAW"
"75",2022-05-28 13:00:00,2.262,12.479,2.218,12.626,"CRAW"
"76",2022-05-28 13:15:00,2.399,12.427,2.324,12.627,"CRAW"
"77",2022-05-28 13:30:00,2.504,12.392,2.408,12.597,"CRAW"
"78",2022-05-28 13:45:00,2.608,12.378,2.535,12.557,"CRAW"
"79",2022-05-28 14:00:00,2.703,12.347,2.598,12.555,"CRAW"
"80",2022-05-28 14:15:00,2.807,12.309,2.671,12.519,"CRAW"
"81",2022-05-28 14:30:00,2.849,12.289,2.765,12.493,"CRAW"
"82",2022-05-28 14:45:00,2.922,12.259,2.817,12.464,"CRAW"
"83",2022-05-28 15:00:00,2.963,12.245,2.88,12.452,"CRAW"
"84",2022-05-28 15:15:00,3.025,12.213,2.89,12.436,"CRAW"
"85",2022-05-28 15:30:00,3.067,12.203,3.026,12.386,"CRAW"
"86",2022-05-28 15:45:00,3.15,12.18,3.088,12.369,"CRAW"
"87",2022-05-28 16:00:00,3.171,12.126,3.067,12.341,"CRAW"
"88",2022-05-28 16:15:00,3.222,12.114,3.181,12.306,"CRAW"
"89",2022-05-28 16:30:00,3.305,12.084,3.264,12.265,"CRAW"
"90",2022-05-28 16:45:00,3.398,12.06,3.326,12.262,"CRAW"
"91",2022-05-28 17:00:00,3.429,12.042,3.388,12.206,"CRAW"
"92",2022-05-28 17:15:00,3.439,12.024,3.388,12.191,"CRAW"
"93",2022-05-28 17:30:00,3.439,12.012,3.388,12.167,"CRAW"
"94",2022-05-28 17:45:00,3.408,12,3.367,12.161,"CRAW"
"95",2022-05-28 18:00:00,3.377,11.993,3.357,12.139,"CRAW"
"96",2022-05-28 18:15:00,3.387,11.983,3.398,12.121,"CRAW"
"97",2022-05-28 18:30:00,3.377,11.98,3.367,12.108,"CRAW"
