"Calibrated.Value","DateTime"
0,2019-04-29 10:15:00
0,2019-04-29 10:30:00
0,2019-04-29 10:45:00
0,2019-04-29 11:00:00
0,2019-04-29 11:15:00
0,2019-04-29 11:30:00
0,2019-04-29 11:45:00
0,2019-04-29 12:00:00
3.162,2019-04-29 12:15:00
510.539,2019-04-29 12:30:00
1133.143,2019-04-29 12:45:00
1225.554,2019-04-29 13:00:00
1235.629,2019-04-29 13:15:00
1134.414,2019-04-29 13:30:00
807.457,2019-04-29 13:45:00
799.955,2019-04-29 14:00:00
1249.114,2019-04-29 14:15:00
1224.314,2019-04-29 14:30:00
1231.909,2019-04-29 14:45:00
1218.052,2019-04-29 15:00:00
1201.56,2019-04-29 15:15:00
1180.077,2019-04-29 15:30:00
1156.455,2019-04-29 15:45:00
1130.415,2019-04-29 16:00:00
1099.539,2019-04-29 16:15:00
1064.571,2019-04-29 16:30:00
1029.231,2019-04-29 16:45:00
988.621,2019-04-29 17:00:00
943.299,2019-04-29 17:15:00
895.621,2019-04-29 17:30:00
846.982,2019-04-29 17:45:00
575.112,2019-04-29 18:00:00
137.764,2019-04-29 18:15:00
562.65,2019-04-29 18:30:00
567.486,2019-04-29 18:45:00
464.039,2019-04-29 19:00:00
493.117,2019-04-29 19:15:00
418.531,2019-04-29 19:30:00
103.354,2019-04-29 19:45:00
73.687,2019-04-29 20:00:00
68.014,2019-04-29 20:15:00
59.861,2019-04-29 20:30:00
53.909,2019-04-29 20:45:00
46.004,2019-04-29 21:00:00
37.944,2019-04-29 21:15:00
29.605,2019-04-29 21:30:00
21.235,2019-04-29 21:45:00
13.423,2019-04-29 22:00:00
6.913,2019-04-29 22:15:00
2.821,2019-04-29 22:30:00
0.992,2019-04-29 22:45:00
0.31,2019-04-29 23:00:00
0.062,2019-04-29 23:15:00
0,2019-04-29 23:30:00
0,2019-04-29 23:45:00
0,2019-04-30 00:00:00
0,2019-04-30 00:15:00
0,2019-04-30 00:30:00
0,2019-04-30 00:45:00
0,2019-04-30 01:00:00
0,2019-04-30 01:15:00
0,2019-04-30 01:30:00
0,2019-04-30 01:45:00
0,2019-04-30 02:00:00
0,2019-04-30 02:15:00
0,2019-04-30 02:30:00
0,2019-04-30 02:45:00
0,2019-04-30 03:00:00
0,2019-04-30 03:15:00
0,2019-04-30 03:30:00
0,2019-04-30 03:45:00
0,2019-04-30 04:00:00
0,2019-04-30 04:15:00
0.062,2019-04-30 04:30:00
0.341,2019-04-30 04:45:00
1.085,2019-04-30 05:00:00
3.069,2019-04-30 05:15:00
7.192,2019-04-30 05:30:00
14.353,2019-04-30 05:45:00
22.94,2019-04-30 06:00:00
32.581,2019-04-30 06:15:00
42.625,2019-04-30 06:30:00
51.615,2019-04-30 06:45:00
60.016,2019-04-30 07:00:00
68.262,2019-04-30 07:15:00
82.956,2019-04-30 07:30:00
154.101,2019-04-30 07:45:00
212.102,2019-04-30 08:00:00
344.131,2019-04-30 08:15:00
440.355,2019-04-30 08:30:00
542.624,2019-04-30 08:45:00
312.077,2019-04-30 09:00:00
598.672,2019-04-30 09:15:00
727.756,2019-04-30 09:30:00
755.656,2019-04-30 09:45:00
737.304,2019-04-30 10:00:00
883.407,2019-04-30 10:15:00
688.696,2019-04-30 10:30:00
823.763,2019-04-30 10:45:00
176.359,2019-04-30 11:00:00
792.36,2019-04-30 11:15:00
146.351,2019-04-30 11:30:00
144.181,2019-04-30 11:45:00
154.69,2019-04-30 12:00:00
912.454,2019-04-30 12:15:00
541.508,2019-04-30 12:30:00
