"","datetimeAK","temp.water.MDS","DO.obs.MDS","temp.water.MUS","DO.obs.MUS"
"1",2022-05-27 16:45:00,5.21,11.881,5.291,11.989
"2",2022-05-27 17:00:00,5.279,11.826,5.361,11.963
"3",2022-05-27 17:15:00,5.358,11.778,5.43,11.933
"4",2022-05-27 17:30:00,5.467,11.738,5.529,11.896
"5",2022-05-27 17:45:00,5.537,11.717,5.569,11.879
"6",2022-05-27 18:00:00,5.566,11.694,5.608,11.851
"7",2022-05-27 18:15:00,5.566,11.69,5.628,11.834
"8",2022-05-27 18:30:00,5.635,11.652,5.697,11.801
"9",2022-05-27 18:45:00,5.714,11.63,5.766,11.787
"10",2022-05-27 19:00:00,5.763,11.614,5.806,11.757
"11",2022-05-27 19:15:00,5.783,11.59,5.806,11.757
"12",2022-05-27 19:30:00,5.793,11.59,5.815,11.751
"13",2022-05-27 19:45:00,5.793,11.585,5.796,11.74
"14",2022-05-27 20:00:00,5.744,11.587,5.737,11.762
"15",2022-05-27 20:15:00,5.694,11.598,5.707,11.769
"16",2022-05-27 20:30:00,5.675,11.605,5.687,11.758
"17",2022-05-27 20:45:00,5.655,11.609,5.668,11.758
"18",2022-05-27 21:00:00,5.645,11.607,5.658,11.76
"19",2022-05-27 21:15:00,5.606,11.619,5.608,11.765
"20",2022-05-27 21:30:00,5.556,11.626,5.539,11.8
"21",2022-05-27 21:45:00,5.467,11.649,5.47,11.806
"22",2022-05-27 22:00:00,5.428,11.651,5.401,11.84
"23",2022-05-27 22:15:00,5.319,11.697,5.321,11.851
"24",2022-05-27 22:30:00,5.249,11.707,5.202,11.903
"25",2022-05-27 22:45:00,5.15,11.744,5.072,11.938
"26",2022-05-27 23:00:00,5.06,11.758,4.952,11.983
"27",2022-05-27 23:15:00,4.95,11.807,4.872,12.005
"28",2022-05-27 23:30:00,4.8,11.866,4.782,12.024
"29",2022-05-27 23:45:00,4.75,11.862,4.692,12.042
"30",2022-05-28 00:00:00,4.65,11.893,4.611,12.064
"31",2022-05-28 00:15:00,4.549,11.939,4.5,12.121
"32",2022-05-28 00:30:00,4.448,11.955,4.389,12.135
"33",2022-05-28 00:45:00,4.337,12.004,4.268,12.182
"34",2022-05-28 01:00:00,4.206,12.027,4.115,12.241
"35",2022-05-28 01:15:00,4.094,12.071,4.024,12.264
"36",2022-05-28 01:30:00,3.992,12.121,3.881,12.3
"37",2022-05-28 01:45:00,3.849,12.159,3.758,12.339
"38",2022-05-28 02:00:00,3.727,12.197,3.655,12.378
"39",2022-05-28 02:15:00,3.604,12.248,3.542,12.414
"40",2022-05-28 02:30:00,3.491,12.268,3.429,12.456
"41",2022-05-28 02:45:00,3.367,12.309,3.336,12.475
"42",2022-05-28 03:00:00,3.274,12.334,3.191,12.53
"43",2022-05-28 03:15:00,3.16,12.377,3.077,12.577
"44",2022-05-28 03:30:00,3.057,12.433,2.963,12.623
"45",2022-05-28 03:45:00,2.942,12.454,2.858,12.645
"46",2022-05-28 04:00:00,2.817,12.504,2.754,12.683
"47",2022-05-28 04:15:00,2.703,12.544,2.607,12.748
