"Calibrated.Value","DateTime"
3.33,2019-05-08 11:15:00
3.33,2019-05-08 11:30:00
3.33,2019-05-08 11:45:00
3.33,2019-05-08 12:00:00
3.293,2019-05-08 12:15:00
3.33,2019-05-08 12:30:00
3.33,2019-05-08 12:45:00
3.293,2019-05-08 13:00:00
3.33,2019-05-08 13:15:00
3.515,2019-05-08 13:30:00
3.626,2019-05-08 13:45:00
3.663,2019-05-08 14:00:00
3.663,2019-05-08 14:15:00
3.626,2019-05-08 14:30:00
3.515,2019-05-08 14:45:00
3.552,2019-05-08 15:00:00
3.515,2019-05-08 15:15:00
3.589,2019-05-08 15:30:00
3.552,2019-05-08 15:45:00
0.555,2019-05-08 16:00:00
0,2019-05-08 16:15:00
0.555,2019-05-08 16:30:00
0,2019-05-08 16:45:00
0,2019-05-08 17:00:00
0,2019-05-08 17:15:00
0,2019-05-08 17:30:00
0.037,2019-05-08 17:45:00
0.111,2019-05-08 18:00:00
0.296,2019-05-08 18:15:00
0,2019-05-08 18:30:00
0,2019-05-08 18:45:00
0,2019-05-08 19:00:00
0,2019-05-08 19:15:00
0,2019-05-08 19:30:00
0,2019-05-08 19:45:00
0,2019-05-08 20:00:00
0,2019-05-08 20:15:00
0,2019-05-08 20:30:00
0,2019-05-08 20:45:00
0,2019-05-08 21:00:00
0,2019-05-08 21:15:00
0,2019-05-08 21:30:00
0,2019-05-08 21:45:00
0,2019-05-08 22:00:00
0,2019-05-08 22:15:00
0,2019-05-08 22:30:00
0,2019-05-08 22:45:00
0,2019-05-08 23:00:00
0,2019-05-08 23:15:00
0,2019-05-08 23:30:00
0,2019-05-08 23:45:00
0,2019-05-09 00:00:00
0,2019-05-09 00:15:00
0,2019-05-09 00:30:00
0,2019-05-09 00:45:00
0,2019-05-09 01:00:00
0,2019-05-09 01:15:00
0,2019-05-09 01:30:00
0,2019-05-09 01:45:00
0,2019-05-09 02:00:00
0,2019-05-09 02:15:00
0,2019-05-09 02:30:00
0,2019-05-09 02:45:00
0,2019-05-09 03:00:00
0,2019-05-09 03:15:00
0,2019-05-09 03:30:00
0,2019-05-09 03:45:00
0,2019-05-09 04:00:00
0,2019-05-09 04:15:00
0,2019-05-09 04:30:00
0,2019-05-09 04:45:00
0,2019-05-09 05:00:00
0,2019-05-09 05:15:00
0,2019-05-09 05:30:00
0,2019-05-09 05:45:00
0,2019-05-09 06:00:00
0,2019-05-09 06:15:00
0,2019-05-09 06:30:00
0,2019-05-09 06:45:00
0,2019-05-09 07:00:00
0,2019-05-09 07:15:00
0,2019-05-09 07:30:00
2.886,2019-05-09 07:45:00
7.326,2019-05-09 08:00:00
31.117,2019-05-09 08:15:00
2.775,2019-05-09 08:30:00
6.586,2019-05-09 08:45:00
1.813,2019-05-09 09:00:00
0.74,2019-05-09 09:15:00
4.847,2019-05-09 09:30:00
46.694,2019-05-09 09:45:00
145.854,2019-05-09 10:00:00
375.402,2019-05-09 10:15:00
433.344,2019-05-09 10:30:00
606.097,2019-05-09 10:45:00
269.138,2019-05-09 11:00:00
375.513,2019-05-09 11:15:00
685.758,2019-05-09 11:30:00
742.183,2019-05-09 11:45:00
1314.388,2019-05-09 12:00:00
1382.172,2019-05-09 12:15:00
1385.169,2019-05-09 12:30:00
1275.094,2019-05-09 12:45:00
1256.113,2019-05-09 13:00:00
930.328,2019-05-09 13:15:00
1407.628,2019-05-09 13:30:00
1129.573,2019-05-09 13:45:00
1392.791,2019-05-09 14:00:00
1247.529,2019-05-09 14:15:00
990.934,2019-05-09 14:30:00
416.842,2019-05-09 14:45:00
266.474,2019-05-09 15:00:00
325.896,2019-05-09 15:15:00
164.835,2019-05-09 15:30:00
477.3,2019-05-09 15:45:00
478.225,2019-05-09 16:00:00
342.324,2019-05-09 16:15:00
259.148,2019-05-09 16:30:00
135.642,2019-05-09 16:45:00
118.585,2019-05-09 17:00:00
106.708,2019-05-09 17:15:00
116.587,2019-05-09 17:30:00
125.504,2019-05-09 17:45:00
114.589,2019-05-09 18:00:00
122.322,2019-05-09 18:15:00
137.122,2019-05-09 18:30:00
152.292,2019-05-09 18:45:00
172.05,2019-05-09 19:00:00
103.563,2019-05-09 19:15:00
72.742,2019-05-09 19:30:00
77.071,2019-05-09 19:45:00
86.395,2019-05-09 20:00:00
114.034,2019-05-09 20:15:00
93.055,2019-05-09 20:30:00
65.416,2019-05-09 20:45:00
50.098,2019-05-09 21:00:00
37.444,2019-05-09 21:15:00
26.122,2019-05-09 21:30:00
21.867,2019-05-09 21:45:00
16.65,2019-05-09 22:00:00
9.361,2019-05-09 22:15:00
6.882,2019-05-09 22:30:00
