"Calibrated.Value","DateTime"
1387.47,2019-05-14 11:45:00
1346.31,2019-05-14 12:00:00
1466.675,2019-05-14 12:15:00
848.82,2019-05-14 12:30:00
1530.62,2019-05-14 12:45:00
1231.3,2019-05-14 13:00:00
1447.565,2019-05-14 13:15:00
1334.27,2019-05-14 13:30:00
936.74,2019-05-14 13:45:00
786.17,2019-05-14 14:00:00
752.64,2019-05-14 14:15:00
668.15,2019-05-14 14:30:00
630.805,2019-05-14 14:45:00
817.04,2019-05-14 15:00:00
817.705,2019-05-14 15:15:00
1059.135,2019-05-14 15:30:00
1121.925,2019-05-14 15:45:00
742.455,2019-05-14 16:00:00
624.365,2019-05-14 16:15:00
763.805,2019-05-14 16:30:00
1053.5,2019-05-14 16:45:00
675.185,2019-05-14 17:00:00
819.595,2019-05-14 17:15:00
710.15,2019-05-14 17:30:00
542.43,2019-05-14 17:45:00
547.05,2019-05-14 18:00:00
566.3,2019-05-14 18:15:00
632.24,2019-05-14 18:30:00
576.485,2019-05-14 18:45:00
739.795,2019-05-14 19:00:00
433.37,2019-05-14 19:15:00
352.17,2019-05-14 19:30:00
419.335,2019-05-14 19:45:00
306.95,2019-05-14 20:00:00
253.855,2019-05-14 20:15:00
225.645,2019-05-14 20:30:00
201.6,2019-05-14 20:45:00
164.395,2019-05-14 21:00:00
138.6,2019-05-14 21:15:00
111.825,2019-05-14 21:30:00
83.125,2019-05-14 21:45:00
66.64,2019-05-14 22:00:00
49.035,2019-05-14 22:15:00
34.685,2019-05-14 22:30:00
17.85,2019-05-14 22:45:00
7.035,2019-05-14 23:00:00
5.04,2019-05-14 23:15:00
3.64,2019-05-14 23:30:00
1.96,2019-05-14 23:45:00
0.98,2019-05-15 00:00:00
0.49,2019-05-15 00:15:00
0.245,2019-05-15 00:30:00
0.14,2019-05-15 00:45:00
0.07,2019-05-15 01:00:00
0.035,2019-05-15 01:15:00
0.035,2019-05-15 01:30:00
0,2019-05-15 01:45:00
0.035,2019-05-15 02:00:00
0.035,2019-05-15 02:15:00
0.035,2019-05-15 02:30:00
0.07,2019-05-15 02:45:00
0.105,2019-05-15 03:00:00
0.21,2019-05-15 03:15:00
0.49,2019-05-15 03:30:00
1.12,2019-05-15 03:45:00
2.66,2019-05-15 04:00:00
6.09,2019-05-15 04:15:00
9.73,2019-05-15 04:30:00
15.89,2019-05-15 04:45:00
26.95,2019-05-15 05:00:00
36.82,2019-05-15 05:15:00
51.31,2019-05-15 05:30:00
65.765,2019-05-15 05:45:00
86.38,2019-05-15 06:00:00
110.18,2019-05-15 06:15:00
137.375,2019-05-15 06:30:00
163.1,2019-05-15 06:45:00
185.71,2019-05-15 07:00:00
213.465,2019-05-15 07:15:00
254.065,2019-05-15 07:30:00
290.5,2019-05-15 07:45:00
301.98,2019-05-15 08:00:00
374.22,2019-05-15 08:15:00
499.625,2019-05-15 08:30:00
750.12,2019-05-15 08:45:00
700.42,2019-05-15 09:00:00
825.265,2019-05-15 09:15:00
829.78,2019-05-15 09:30:00
899.815,2019-05-15 09:45:00
984.095,2019-05-15 10:00:00
1028.545,2019-05-15 10:15:00
1075.445,2019-05-15 10:30:00
1119.51,2019-05-15 10:45:00
1003.625,2019-05-15 11:00:00
1107.89,2019-05-15 11:15:00
1271.795,2019-05-15 11:30:00
1273.615,2019-05-15 11:45:00
1290.8,2019-05-15 12:00:00
1304.94,2019-05-15 12:15:00
1312.465,2019-05-15 12:30:00
1339.765,2019-05-15 12:45:00
1367.625,2019-05-15 13:00:00
1404.305,2019-05-15 13:15:00
1255.31,2019-05-15 13:30:00
939.015,2019-05-15 13:45:00
730.975,2019-05-15 14:00:00
780.815,2019-05-15 14:15:00
560.735,2019-05-15 14:30:00
981.295,2019-05-15 14:45:00
976.29,2019-05-15 15:00:00
1306.235,2019-05-15 15:15:00
873.425,2019-05-15 15:30:00
1362.305,2019-05-15 15:45:00
1347.885,2019-05-15 16:00:00
794.955,2019-05-15 16:15:00
860.195,2019-05-15 16:30:00
1168.475,2019-05-15 16:45:00
1051.54,2019-05-15 17:00:00
1112.09,2019-05-15 17:15:00
1128.505,2019-05-15 17:30:00
1080.205,2019-05-15 17:45:00
1022.7,2019-05-15 18:00:00
966.175,2019-05-15 18:15:00
918.82,2019-05-15 18:30:00
866.985,2019-05-15 18:45:00
728.175,2019-05-15 19:00:00
322.385,2019-05-15 19:15:00
690.2,2019-05-15 19:30:00
260.785,2019-05-15 19:45:00
137.69,2019-05-15 20:00:00
116.795,2019-05-15 20:15:00
