"","datetimeAK","temp.water.SDS","DO.obs.SDS","temp.water.SUS","DO.obs.SUS","Site"
"1",2022-06-14 14:00:00,5.062,12.183,5.157,12.178,"SHOV"
"2",2022-06-14 14:15:00,5.142,12.151,5.256,12.166,"SHOV"
"3",2022-06-14 14:30:00,5.281,12.093,5.395,12.146,"SHOV"
"4",2022-06-14 14:45:00,5.45,12.039,5.494,12.115,"SHOV"
"5",2022-06-14 15:00:00,5.548,12.005,5.583,12.103,"SHOV"
"6",2022-06-14 15:15:00,5.657,11.931,5.692,12.069,"SHOV"
"7",2022-06-14 15:30:00,5.746,11.909,5.78,12.019,"SHOV"
"8",2022-06-14 15:45:00,5.844,11.879,5.839,12.01,"SHOV"
"9",2022-06-14 16:00:00,5.903,11.865,5.898,11.986,"SHOV"
"10",2022-06-14 16:15:00,5.982,11.821,5.928,11.973,"SHOV"
"11",2022-06-14 16:30:00,6.011,11.807,5.937,11.961,"SHOV"
"12",2022-06-14 16:45:00,6.04,11.8,5.947,11.948,"SHOV"
"13",2022-06-14 17:00:00,6.011,11.818,5.928,11.961,"SHOV"
"14",2022-06-14 17:15:00,5.982,11.835,5.918,11.945,"SHOV"
"15",2022-06-14 17:30:00,5.952,11.833,5.849,11.983,"SHOV"
"16",2022-06-14 17:45:00,5.913,11.827,5.82,11.963,"SHOV"
"17",2022-06-14 18:00:00,5.874,11.853,5.77,11.977,"SHOV"
"18",2022-06-14 18:15:00,5.824,11.86,5.751,11.975,"SHOV"
"19",2022-06-14 18:30:00,5.775,11.879,5.672,12.001,"SHOV"
"20",2022-06-14 18:45:00,5.726,11.882,5.623,12.012,"SHOV"
"21",2022-06-14 19:00:00,5.667,11.915,5.543,12.024,"SHOV"
"22",2022-06-14 19:15:00,5.608,11.936,5.454,12.051,"SHOV"
"23",2022-06-14 19:30:00,5.519,11.949,5.405,12.058,"SHOV"
"24",2022-06-14 19:45:00,5.459,11.964,5.326,12.068,"SHOV"
"25",2022-06-14 20:00:00,5.37,11.98,5.246,12.09,"SHOV"
"26",2022-06-14 20:15:00,5.281,12.002,5.157,12.112,"SHOV"
"27",2022-06-14 20:30:00,5.211,12.001,5.047,12.155,"SHOV"
"28",2022-06-14 20:45:00,5.112,12.036,4.967,12.164,"SHOV"
"29",2022-06-14 21:00:00,5.022,12.085,4.897,12.189,"SHOV"
"30",2022-06-14 21:15:00,4.932,12.106,4.787,12.221,"SHOV"
"31",2022-06-14 21:30:00,4.812,12.152,4.696,12.241,"SHOV"
"32",2022-06-14 21:45:00,4.701,12.183,4.586,12.266,"SHOV"
"33",2022-06-14 22:00:00,4.591,12.192,4.465,12.294,"SHOV"
"34",2022-06-14 22:15:00,4.49,12.227,4.354,12.318,"SHOV"
