"","site","year","GPP_daily_mean","ER_daily_mean","NEP_mean"
"1","CRAW",2019,NA,NA,NA
"2","CRAW",2020,NA,NA,NA
"3","CRAW",2021,NA,NA,NA
"4","CRAW",2022,0.198113514189974,-1.68003154670885,-1.48191803251887
"5","FRCH",2019,3.31802629958571,-11.4838863587719,-8.16586005918624
"6","FRCH",2020,1.72742730603512,-9.37754630553317,-7.65011899949804
"7","FRCH",2021,2.50001481242254,-8.71625904712424,-6.2162442347017
"8","FRCH",2022,2.81222221894031,-8.21238414109888,-5.40016192215857
"9","MAST",2019,NA,NA,NA
"10","MAST",2020,NA,NA,NA
"11","MAST",2021,NA,NA,NA
"12","MAST",2022,0.415449041041827,-2.63609995265591,-2.22065091161409
"13","MOOS",2019,1.53385212321497,-3.45659729801642,-1.92274517480145
"14","MOOS",2020,0.318558287502472,-3.99390934539222,-3.67535105788975
"15","MOOS",2021,1.63486379244258,-7.02572408401729,-5.39086029157471
"16","MOOS",2022,1.30609422433006,-3.80412224205682,-2.49802801772675
"17","POKE",2019,0.771849283044658,-0.732775351595497,0.039073931449161
"18","POKE",2020,0.129534937176758,-4.82062002080321,-4.69108508362645
"19","POKE",2021,0.737563099657428,-5.11694388573076,-4.37938078607333
"20","SHOV",2019,NA,NA,NA
"21","SHOV",2020,NA,NA,NA
"22","SHOV",2021,NA,NA,NA
"23","SHOV",2022,0.142127237553554,-5.25796819648144,-5.11584095892789
"24","STRT",2019,1.46481792565003,-7.31366595136441,-5.84884802571438
"25","STRT",2020,1.27212843165628,-9.64325744224829,-8.37112901059201
"26","STRT",2021,1.29222082130871,-6.00092197525365,-4.70870115394494
"27","STRT",2022,1.38471785611483,-5.05577686048324,-3.67105900436841
"28","VAUL",2019,0.853239324522451,-2.75023970942967,-1.89700038490722
"29","VAUL",2020,0.533537144023234,-8.14114928881195,-7.60761214478871
"30","VAUL",2021,0.368672318813388,-4.85578197440336,-4.48710965558998
"31","VAUL",2022,0.247681530557341,-4.23515965018009,-3.98747811962275
