"Calibrated.Value","DateTime"
590.724,2019-05-21 12:45:00
548.784,2019-05-21 13:00:00
772.776,2019-05-21 13:15:00
1162.8,2019-05-21 13:30:00
1025.028,2019-05-21 13:45:00
900.072,2019-05-21 14:00:00
1100.412,2019-05-21 14:15:00
1033.452,2019-05-21 14:30:00
765.936,2019-05-21 14:45:00
1233.216,2019-05-21 15:00:00
1512.612,2019-05-21 15:15:00
1365.66,2019-05-21 15:30:00
1369.512,2019-05-21 15:45:00
920.628,2019-05-21 16:00:00
1426.752,2019-05-21 16:15:00
1369.476,2019-05-21 16:30:00
1298.952,2019-05-21 16:45:00
1184.94,2019-05-21 17:00:00
1102.68,2019-05-21 17:15:00
1043.532,2019-05-21 17:30:00
791.964,2019-05-21 17:45:00
734.76,2019-05-21 18:00:00
730.872,2019-05-21 18:15:00
498.6,2019-05-21 18:30:00
223.704,2019-05-21 18:45:00
178.956,2019-05-21 19:00:00
153.72,2019-05-21 19:15:00
160.38,2019-05-21 19:30:00
134.856,2019-05-21 19:45:00
104.508,2019-05-21 20:00:00
116.64,2019-05-21 20:15:00
132.516,2019-05-21 20:30:00
127.188,2019-05-21 20:45:00
110.052,2019-05-21 21:00:00
99.54,2019-05-21 21:15:00
104.076,2019-05-21 21:30:00
81.432,2019-05-21 21:45:00
57.528,2019-05-21 22:00:00
41.4,2019-05-21 22:15:00
29.088,2019-05-21 22:30:00
20.124,2019-05-21 22:45:00
13.86,2019-05-21 23:00:00
10.116,2019-05-21 23:15:00
6.3,2019-05-21 23:30:00
3.96,2019-05-21 23:45:00
1.98,2019-05-22 00:00:00
1.008,2019-05-22 00:15:00
0.54,2019-05-22 00:30:00
0.324,2019-05-22 00:45:00
0.18,2019-05-22 01:00:00
0.144,2019-05-22 01:15:00
0.108,2019-05-22 01:30:00
0.108,2019-05-22 01:45:00
0.108,2019-05-22 02:00:00
0.108,2019-05-22 02:15:00
0.18,2019-05-22 02:30:00
0.252,2019-05-22 02:45:00
0.432,2019-05-22 03:00:00
0.72,2019-05-22 03:15:00
1.26,2019-05-22 03:30:00
2.304,2019-05-22 03:45:00
4.716,2019-05-22 04:00:00
8.424,2019-05-22 04:15:00
13.68,2019-05-22 04:30:00
19.872,2019-05-22 04:45:00
26.172,2019-05-22 05:00:00
32.796,2019-05-22 05:15:00
39.204,2019-05-22 05:30:00
55.152,2019-05-22 05:45:00
91.008,2019-05-22 06:00:00
101.376,2019-05-22 06:15:00
117.972,2019-05-22 06:30:00
117.504,2019-05-22 06:45:00
111.528,2019-05-22 07:00:00
135.072,2019-05-22 07:15:00
152.712,2019-05-22 07:30:00
153,2019-05-22 07:45:00
190.656,2019-05-22 08:00:00
204.624,2019-05-22 08:15:00
203.904,2019-05-22 08:30:00
176.256,2019-05-22 08:45:00
168.624,2019-05-22 09:00:00
175.14,2019-05-22 09:15:00
182.268,2019-05-22 09:30:00
249.012,2019-05-22 09:45:00
337.32,2019-05-22 10:00:00
266.256,2019-05-22 10:15:00
165.132,2019-05-22 10:30:00
136.512,2019-05-22 10:45:00
168.3,2019-05-22 11:00:00
709.164,2019-05-22 11:15:00
463.824,2019-05-22 11:30:00
258.156,2019-05-22 11:45:00
544.968,2019-05-22 12:00:00
796.032,2019-05-22 12:15:00
1248.516,2019-05-22 12:30:00
1179.36,2019-05-22 12:45:00
1038.888,2019-05-22 13:00:00
546.3,2019-05-22 13:15:00
710.388,2019-05-22 13:30:00
648.432,2019-05-22 13:45:00
951.3,2019-05-22 14:00:00
1525.212,2019-05-22 14:15:00
1497.708,2019-05-22 14:30:00
1426.32,2019-05-22 14:45:00
1408.968,2019-05-22 15:00:00
1381.572,2019-05-22 15:15:00
1384.164,2019-05-22 15:30:00
1387.764,2019-05-22 15:45:00
1306.548,2019-05-22 16:00:00
1507.752,2019-05-22 16:15:00
1416.6,2019-05-22 16:30:00
932.868,2019-05-22 16:45:00
1123.776,2019-05-22 17:00:00
1069.776,2019-05-22 17:15:00
1126.08,2019-05-22 17:30:00
766.764,2019-05-22 17:45:00
745.92,2019-05-22 18:00:00
813.852,2019-05-22 18:15:00
465.696,2019-05-22 18:30:00
144.756,2019-05-22 18:45:00
142.632,2019-05-22 19:00:00
174.636,2019-05-22 19:15:00
525.492,2019-05-22 19:30:00
172.044,2019-05-22 19:45:00
174.744,2019-05-22 20:00:00
159.048,2019-05-22 20:15:00
150.66,2019-05-22 20:30:00
101.556,2019-05-22 20:45:00
80.964,2019-05-22 21:00:00
68.508,2019-05-22 21:15:00
58.572,2019-05-22 21:30:00
53.064,2019-05-22 21:45:00
43.596,2019-05-22 22:00:00
33.804,2019-05-22 22:15:00
26.316,2019-05-22 22:30:00
20.34,2019-05-22 22:45:00
15.516,2019-05-22 23:00:00
10.8,2019-05-22 23:15:00
6.408,2019-05-22 23:30:00
3.852,2019-05-22 23:45:00
2.16,2019-05-23 00:00:00
1.26,2019-05-23 00:15:00
0.72,2019-05-23 00:30:00
0.432,2019-05-23 00:45:00
0.288,2019-05-23 01:00:00
0.18,2019-05-23 01:15:00
0.144,2019-05-23 01:30:00
0.144,2019-05-23 01:45:00
0.18,2019-05-23 02:00:00
0.18,2019-05-23 02:15:00
0.216,2019-05-23 02:30:00
0.36,2019-05-23 02:45:00
0.576,2019-05-23 03:00:00
1.008,2019-05-23 03:15:00
1.764,2019-05-23 03:30:00
3.168,2019-05-23 03:45:00
4.5,2019-05-23 04:00:00
6.552,2019-05-23 04:15:00
10.512,2019-05-23 04:30:00
16.812,2019-05-23 04:45:00
28.296,2019-05-23 05:00:00
43.164,2019-05-23 05:15:00
46.692,2019-05-23 05:30:00
56.844,2019-05-23 05:45:00
61.236,2019-05-23 06:00:00
68.976,2019-05-23 06:15:00
73.404,2019-05-23 06:30:00
91.26,2019-05-23 06:45:00
96.444,2019-05-23 07:00:00
100.62,2019-05-23 07:15:00
68.472,2019-05-23 07:30:00
33.516,2019-05-23 07:45:00
100.944,2019-05-23 08:00:00
116.424,2019-05-23 08:15:00
106.488,2019-05-23 08:30:00
274.788,2019-05-23 08:45:00
164.412,2019-05-23 09:00:00
197.1,2019-05-23 09:15:00
435.708,2019-05-23 09:30:00
540.396,2019-05-23 09:45:00
549.36,2019-05-23 10:00:00
998.748,2019-05-23 10:15:00
951.84,2019-05-23 10:30:00
817.812,2019-05-23 10:45:00
1017.072,2019-05-23 11:00:00
1164.78,2019-05-23 11:15:00
1119.024,2019-05-23 11:30:00
675.864,2019-05-23 11:45:00
559.836,2019-05-23 12:00:00
441.648,2019-05-23 12:15:00
369.54,2019-05-23 12:30:00
342.936,2019-05-23 12:45:00
285.768,2019-05-23 13:00:00
443.988,2019-05-23 13:15:00
952.704,2019-05-23 13:30:00
1281.492,2019-05-23 13:45:00
1206.792,2019-05-23 14:00:00
1234.224,2019-05-23 14:15:00
1246.284,2019-05-23 14:30:00
1231.776,2019-05-23 14:45:00
1186.308,2019-05-23 15:00:00
1158.912,2019-05-23 15:15:00
1156.752,2019-05-23 15:30:00
1009.296,2019-05-23 15:45:00
1196.316,2019-05-23 16:00:00
985.284,2019-05-23 16:15:00
1099.332,2019-05-23 16:30:00
703.656,2019-05-23 16:45:00
547.02,2019-05-23 17:00:00
702.576,2019-05-23 17:15:00
441.288,2019-05-23 17:30:00
438.408,2019-05-23 17:45:00
416.988,2019-05-23 18:00:00
592.956,2019-05-23 18:15:00
538.308,2019-05-23 18:30:00
360.396,2019-05-23 18:45:00
384.408,2019-05-23 19:00:00
321.948,2019-05-23 19:15:00
290.736,2019-05-23 19:30:00
226.98,2019-05-23 19:45:00
240.696,2019-05-23 20:00:00
205.308,2019-05-23 20:15:00
124.596,2019-05-23 20:30:00
105.084,2019-05-23 20:45:00
91.692,2019-05-23 21:00:00
77.868,2019-05-23 21:15:00
63.972,2019-05-23 21:30:00
57.42,2019-05-23 21:45:00
46.224,2019-05-23 22:00:00
42.192,2019-05-23 22:15:00
40.932,2019-05-23 22:30:00
36.792,2019-05-23 22:45:00
21.492,2019-05-23 23:00:00
8.424,2019-05-23 23:15:00
2.592,2019-05-23 23:30:00
1.512,2019-05-23 23:45:00
0.828,2019-05-24 00:00:00
0.54,2019-05-24 00:15:00
0.144,2019-05-24 00:30:00
0.072,2019-05-24 00:45:00
0,2019-05-24 01:00:00
0,2019-05-24 01:15:00
0,2019-05-24 01:30:00
0,2019-05-24 01:45:00
0,2019-05-24 02:00:00
0,2019-05-24 02:15:00
0,2019-05-24 02:30:00
0,2019-05-24 02:45:00
0.108,2019-05-24 03:00:00
0.18,2019-05-24 03:15:00
0.36,2019-05-24 03:30:00
0.648,2019-05-24 03:45:00
1.116,2019-05-24 04:00:00
1.332,2019-05-24 04:15:00
1.512,2019-05-24 04:30:00
2.952,2019-05-24 04:45:00
4.824,2019-05-24 05:00:00
8.856,2019-05-24 05:15:00
11.844,2019-05-24 05:30:00
14.148,2019-05-24 05:45:00
14.58,2019-05-24 06:00:00
12.204,2019-05-24 06:15:00
14.004,2019-05-24 06:30:00
15.048,2019-05-24 06:45:00
13.932,2019-05-24 07:00:00
14.976,2019-05-24 07:15:00
15.696,2019-05-24 07:30:00
19.836,2019-05-24 07:45:00
27.252,2019-05-24 08:00:00
42.408,2019-05-24 08:15:00
48.24,2019-05-24 08:30:00
39.528,2019-05-24 08:45:00
43.308,2019-05-24 09:00:00
43.236,2019-05-24 09:15:00
51.948,2019-05-24 09:30:00
54.972,2019-05-24 09:45:00
52.956,2019-05-24 10:00:00
62.928,2019-05-24 10:15:00
67.032,2019-05-24 10:30:00
70.884,2019-05-24 10:45:00
91.476,2019-05-24 11:00:00
93.888,2019-05-24 11:15:00
128.268,2019-05-24 11:30:00
116.064,2019-05-24 11:45:00
110.772,2019-05-24 12:00:00
118.116,2019-05-24 12:15:00
118.332,2019-05-24 12:30:00
163.908,2019-05-24 12:45:00
241.416,2019-05-24 13:00:00
407.664,2019-05-24 13:15:00
563.76,2019-05-24 13:30:00
726.552,2019-05-24 13:45:00
712.8,2019-05-24 14:00:00
571.392,2019-05-24 14:15:00
587.736,2019-05-24 14:30:00
557.928,2019-05-24 14:45:00
770.076,2019-05-24 15:00:00
819.432,2019-05-24 15:15:00
565.164,2019-05-24 15:30:00
499.572,2019-05-24 15:45:00
392.94,2019-05-24 16:00:00
888.516,2019-05-24 16:15:00
480.852,2019-05-24 16:30:00
517.032,2019-05-24 16:45:00
414.396,2019-05-24 17:00:00
602.676,2019-05-24 17:15:00
480.24,2019-05-24 17:30:00
459,2019-05-24 17:45:00
309.96,2019-05-24 18:00:00
676.26,2019-05-24 18:15:00
361.224,2019-05-24 18:30:00
300.348,2019-05-24 18:45:00
264.096,2019-05-24 19:00:00
275.76,2019-05-24 19:15:00
204.912,2019-05-24 19:30:00
158.364,2019-05-24 19:45:00
115.524,2019-05-24 20:00:00
71.676,2019-05-24 20:15:00
65.808,2019-05-24 20:30:00
69.12,2019-05-24 20:45:00
70.236,2019-05-24 21:00:00
67.788,2019-05-24 21:15:00
45.432,2019-05-24 21:30:00
39.528,2019-05-24 21:45:00
46.728,2019-05-24 22:00:00
41.436,2019-05-24 22:15:00
27.036,2019-05-24 22:30:00
21.996,2019-05-24 22:45:00
17.352,2019-05-24 23:00:00
11.952,2019-05-24 23:15:00
7.956,2019-05-24 23:30:00
4.68,2019-05-24 23:45:00
2.664,2019-05-25 00:00:00
1.404,2019-05-25 00:15:00
0.756,2019-05-25 00:30:00
0.504,2019-05-25 00:45:00
0.36,2019-05-25 01:00:00
0.288,2019-05-25 01:15:00
0.216,2019-05-25 01:30:00
0.216,2019-05-25 01:45:00
0.216,2019-05-25 02:00:00
0.216,2019-05-25 02:15:00
0.252,2019-05-25 02:30:00
0.396,2019-05-25 02:45:00
0.612,2019-05-25 03:00:00
0.9,2019-05-25 03:15:00
1.584,2019-05-25 03:30:00
2.844,2019-05-25 03:45:00
4.896,2019-05-25 04:00:00
8.244,2019-05-25 04:15:00
