"Calibrated.Value","DateTime"
522.048,2019-05-10 16:15:00
511.712,2019-05-10 16:30:00
84.608,2019-05-10 16:45:00
113.152,2019-05-10 17:00:00
365.664,2019-05-10 17:15:00
353.664,2019-05-10 17:30:00
461.408,2019-05-10 17:45:00
361.184,2019-05-10 18:00:00
329.728,2019-05-10 18:15:00
328.064,2019-05-10 18:30:00
404.352,2019-05-10 18:45:00
159.616,2019-05-10 19:00:00
71.456,2019-05-10 19:15:00
57.248,2019-05-10 19:30:00
89.6,2019-05-10 19:45:00
93.056,2019-05-10 20:00:00
64.224,2019-05-10 20:15:00
82.304,2019-05-10 20:30:00
47.392,2019-05-10 20:45:00
36.384,2019-05-10 21:00:00
37.12,2019-05-10 21:15:00
52.128,2019-05-10 21:30:00
70.752,2019-05-10 21:45:00
75.136,2019-05-10 22:00:00
33.92,2019-05-10 22:15:00
15.296,2019-05-10 22:30:00
9.408,2019-05-10 22:45:00
5.632,2019-05-10 23:00:00
2.912,2019-05-10 23:15:00
1.376,2019-05-10 23:30:00
0.64,2019-05-10 23:45:00
0.224,2019-05-11 00:00:00
0.096,2019-05-11 00:15:00
0.032,2019-05-11 00:30:00
0,2019-05-11 00:45:00
0,2019-05-11 01:00:00
0,2019-05-11 01:15:00
0,2019-05-11 01:30:00
0,2019-05-11 01:45:00
0,2019-05-11 02:00:00
0,2019-05-11 02:15:00
0,2019-05-11 02:30:00
0,2019-05-11 02:45:00
0,2019-05-11 03:00:00
0,2019-05-11 03:15:00
0.064,2019-05-11 03:30:00
0.192,2019-05-11 03:45:00
0.448,2019-05-11 04:00:00
1.152,2019-05-11 04:15:00
2.752,2019-05-11 04:30:00
6.304,2019-05-11 04:45:00
11.712,2019-05-11 05:00:00
18.592,2019-05-11 05:15:00
29.952,2019-05-11 05:30:00
51.36,2019-05-11 05:45:00
77.952,2019-05-11 06:00:00
85.088,2019-05-11 06:15:00
85.728,2019-05-11 06:30:00
89.088,2019-05-11 06:45:00
134.016,2019-05-11 07:00:00
162.592,2019-05-11 07:15:00
160.512,2019-05-11 07:30:00
137.728,2019-05-11 07:45:00
131.968,2019-05-11 08:00:00
151.968,2019-05-11 08:15:00
174.464,2019-05-11 08:30:00
204.8,2019-05-11 08:45:00
239.072,2019-05-11 09:00:00
301.376,2019-05-11 09:15:00
382.016,2019-05-11 09:30:00
518.272,2019-05-11 09:45:00
943.456,2019-05-11 10:00:00
648.48,2019-05-11 10:15:00
759.488,2019-05-11 10:30:00
757.28,2019-05-11 10:45:00
490.144,2019-05-11 11:00:00
391.584,2019-05-11 11:15:00
384.928,2019-05-11 11:30:00
351.712,2019-05-11 11:45:00
464.832,2019-05-11 12:00:00
724.096,2019-05-11 12:15:00
673.472,2019-05-11 12:30:00
587.264,2019-05-11 12:45:00
541.408,2019-05-11 13:00:00
504.672,2019-05-11 13:15:00
409.408,2019-05-11 13:30:00
766.144,2019-05-11 13:45:00
915.904,2019-05-11 14:00:00
523.52,2019-05-11 14:15:00
513.76,2019-05-11 14:30:00
579.68,2019-05-11 14:45:00
859.072,2019-05-11 15:00:00
677.568,2019-05-11 15:15:00
659.008,2019-05-11 15:30:00
758.144,2019-05-11 15:45:00
638.464,2019-05-11 16:00:00
902.048,2019-05-11 16:15:00
1062.176,2019-05-11 16:30:00
843.712,2019-05-11 16:45:00
569.824,2019-05-11 17:00:00
642.752,2019-05-11 17:15:00
656.576,2019-05-11 17:30:00
449.632,2019-05-11 17:45:00
429.568,2019-05-11 18:00:00
508.32,2019-05-11 18:15:00
389.952,2019-05-11 18:30:00
302.112,2019-05-11 18:45:00
224.768,2019-05-11 19:00:00
214.048,2019-05-11 19:15:00
233.056,2019-05-11 19:30:00
413.824,2019-05-11 19:45:00
170.752,2019-05-11 20:00:00
121.312,2019-05-11 20:15:00
95.168,2019-05-11 20:30:00
74.464,2019-05-11 20:45:00
70.112,2019-05-11 21:00:00
72.576,2019-05-11 21:15:00
40.192,2019-05-11 21:30:00
34.72,2019-05-11 21:45:00
28.192,2019-05-11 22:00:00
22.048,2019-05-11 22:15:00
15.552,2019-05-11 22:30:00
9.504,2019-05-11 22:45:00
5.376,2019-05-11 23:00:00
2.048,2019-05-11 23:15:00
0.768,2019-05-11 23:30:00
0.256,2019-05-11 23:45:00
0.128,2019-05-12 00:00:00
0.064,2019-05-12 00:15:00
0.032,2019-05-12 00:30:00
0,2019-05-12 00:45:00
0,2019-05-12 01:00:00
0,2019-05-12 01:15:00
0,2019-05-12 01:30:00
0,2019-05-12 01:45:00
0,2019-05-12 02:00:00
0,2019-05-12 02:15:00
0,2019-05-12 02:30:00
0,2019-05-12 02:45:00
0,2019-05-12 03:00:00
0,2019-05-12 03:15:00
0.032,2019-05-12 03:30:00
0.16,2019-05-12 03:45:00
0.384,2019-05-12 04:00:00
0.992,2019-05-12 04:15:00
1.76,2019-05-12 04:30:00
3.136,2019-05-12 04:45:00
4.256,2019-05-12 05:00:00
7.648,2019-05-12 05:15:00
14.24,2019-05-12 05:30:00
30.304,2019-05-12 05:45:00
44.384,2019-05-12 06:00:00
54.016,2019-05-12 06:15:00
52.992,2019-05-12 06:30:00
67.648,2019-05-12 06:45:00
78.912,2019-05-12 07:00:00
100.096,2019-05-12 07:15:00
133.664,2019-05-12 07:30:00
117.312,2019-05-12 07:45:00
186.88,2019-05-12 08:00:00
190.4,2019-05-12 08:15:00
236.608,2019-05-12 08:30:00
255.552,2019-05-12 08:45:00
292.288,2019-05-12 09:00:00
276.704,2019-05-12 09:15:00
315.36,2019-05-12 09:30:00
346.432,2019-05-12 09:45:00
454.08,2019-05-12 10:00:00
431.296,2019-05-12 10:15:00
970.304,2019-05-12 10:30:00
977.184,2019-05-12 10:45:00
313.024,2019-05-12 11:00:00
549.824,2019-05-12 11:15:00
223.232,2019-05-12 11:30:00
224,2019-05-12 11:45:00
1235.04,2019-05-12 12:00:00
1323.456,2019-05-12 12:15:00
795.264,2019-05-12 12:30:00
319.424,2019-05-12 12:45:00
441.6,2019-05-12 13:00:00
616.352,2019-05-12 13:15:00
334.016,2019-05-12 13:30:00
530.528,2019-05-12 13:45:00
870.56,2019-05-12 14:00:00
483.264,2019-05-12 14:15:00
429.536,2019-05-12 14:30:00
431.456,2019-05-12 14:45:00
312.384,2019-05-12 15:00:00
683.712,2019-05-12 15:15:00
339.968,2019-05-12 15:30:00
970.56,2019-05-12 15:45:00
516.672,2019-05-12 16:00:00
1138.208,2019-05-12 16:15:00
240.128,2019-05-12 16:30:00
413.472,2019-05-12 16:45:00
305.248,2019-05-12 17:00:00
499.744,2019-05-12 17:15:00
911.68,2019-05-12 17:30:00
