"Date_cat","width_cm","Time","Distance_cm","depth_cm","Vel_m_s","Vel_halfdepth_m_s","Vel_twicedepth_m_s","Velocity_mn_m_s","Date","datetime","meanVel_m_s"
220614,120,"13:45",150,20,0.26,NA,NA,0.26,2022-06-14,2022-06-14 13:45:00,0.26
220614,120,"13:45",165,22,0.37,NA,NA,0.37,2022-06-14,2022-06-14 13:45:00,0.37
220614,120,"13:45",180,24,0.33,NA,NA,0.33,2022-06-14,2022-06-14 13:45:00,0.33
220614,120,"13:45",195,26,0.38,NA,NA,0.38,2022-06-14,2022-06-14 13:45:00,0.38
220614,120,"13:45",210,26,0.4,NA,NA,0.4,2022-06-14,2022-06-14 13:45:00,0.4
220614,120,"13:45",225,30,0.42,NA,NA,0.42,2022-06-14,2022-06-14 13:45:00,0.42
220614,120,"13:45",240,32,0.47,NA,NA,0.47,2022-06-14,2022-06-14 13:45:00,0.47
220614,120,"13:45",255,28,0.45,NA,NA,0.45,2022-06-14,2022-06-14 13:45:00,0.45
220614,120,"13:45",270,26,0.55,NA,NA,0.55,2022-06-14,2022-06-14 13:45:00,0.55
220614,120,"13:45",285,26,0.57,NA,NA,0.57,2022-06-14,2022-06-14 13:45:00,0.57
220614,120,"13:45",300,26,0.46,NA,NA,0.46,2022-06-14,2022-06-14 13:45:00,0.46
220614,120,"13:45",315,24,0.39,NA,NA,0.39,2022-06-14,2022-06-14 13:45:00,0.39
220715,200,"11:30",115,16,0.09,NA,NA,0.09,2022-07-15,2022-07-15 11:30:00,0.09
220715,200,"11:30",130,16,0.17,NA,NA,0.17,2022-07-15,2022-07-15 11:30:00,0.17
220715,200,"11:30",145,17,0.22,NA,NA,0.22,2022-07-15,2022-07-15 11:30:00,0.22
220715,200,"11:30",160,20,0.59,NA,NA,0.59,2022-07-15,2022-07-15 11:30:00,0.59
220715,200,"11:30",175,23,0.65,NA,NA,0.65,2022-07-15,2022-07-15 11:30:00,0.65
220715,200,"11:30",190,25,0.52,NA,NA,0.52,2022-07-15,2022-07-15 11:30:00,0.52
220715,200,"11:30",205,19,0.59,NA,NA,0.59,2022-07-15,2022-07-15 11:30:00,0.59
220715,200,"11:30",220,16,0.59,NA,NA,0.59,2022-07-15,2022-07-15 11:30:00,0.59
220715,200,"11:30",235,15,0.66,NA,NA,0.66,2022-07-15,2022-07-15 11:30:00,0.66
220715,200,"11:30",250,14,0.88,NA,NA,0.88,2022-07-15,2022-07-15 11:30:00,0.88
220715,200,"11:30",265,12,0.73,NA,NA,0.73,2022-07-15,2022-07-15 11:30:00,0.73
220715,200,"11:30",280,10,0.63,NA,NA,0.63,2022-07-15,2022-07-15 11:30:00,0.63
220808,170,"12:30",80,16,0.7,NA,NA,0.7,2022-08-08,2022-08-08 12:30:00,0.7
220808,170,"12:30",90,21,0.82,NA,NA,0.82,2022-08-08,2022-08-08 12:30:00,0.82
220808,170,"12:30",100,24,0.86,NA,NA,0.86,2022-08-08,2022-08-08 12:30:00,0.86
220808,170,"12:30",110,23,0.87,NA,NA,0.87,2022-08-08,2022-08-08 12:30:00,0.87
220808,170,"12:30",120,23,0.75,NA,NA,0.75,2022-08-08,2022-08-08 12:30:00,0.75
220808,170,"12:30",130,28,0.73,NA,NA,0.73,2022-08-08,2022-08-08 12:30:00,0.73
220808,170,"12:30",140,30,0.64,NA,NA,0.64,2022-08-08,2022-08-08 12:30:00,0.64
220808,170,"12:30",150,27,0.78,NA,NA,0.78,2022-08-08,2022-08-08 12:30:00,0.78
220808,170,"12:30",160,26,0.9,NA,NA,0.9,2022-08-08,2022-08-08 12:30:00,0.9
220808,170,"12:30",170,20,0.75,NA,NA,0.75,2022-08-08,2022-08-08 12:30:00,0.75
220808,170,"12:30",180,23,0.86,NA,NA,0.86,2022-08-08,2022-08-08 12:30:00,0.86
220808,170,"12:30",190,20,0.75,NA,NA,0.75,2022-08-08,2022-08-08 12:30:00,0.75
220808,170,"12:30",200,24,0.5,NA,NA,0.5,2022-08-08,2022-08-08 12:30:00,0.5
220808,170,"12:30",210,15,0.66,NA,NA,0.66,2022-08-08,2022-08-08 12:30:00,0.66
220808,170,"12:30",220,25,0.48,NA,NA,0.48,2022-08-08,2022-08-08 12:30:00,0.48
220808,170,"12:30",230,20,0.22,NA,NA,0.22,2022-08-08,2022-08-08 12:30:00,0.22
220808,170,"12:30",240,15,0.23,NA,NA,0.23,2022-08-08,2022-08-08 12:30:00,0.23
220808,170,"12:30",250,14,0.19,NA,NA,0.19,2022-08-08,2022-08-08 12:30:00,0.19
221005,190,"12:20",230,15,0.59,NA,NA,0.59,2022-10-05,2022-10-05 12:20:00,0.59
221005,190,"12:20",240,16,0.86,NA,NA,0.86,2022-10-05,2022-10-05 12:20:00,0.86
221005,190,"12:20",250,17,0.7,NA,NA,0.7,2022-10-05,2022-10-05 12:20:00,0.7
221005,190,"12:20",260,18,0.52,NA,NA,0.52,2022-10-05,2022-10-05 12:20:00,0.52
221005,190,"12:20",270,16,0.59,NA,NA,0.59,2022-10-05,2022-10-05 12:20:00,0.59
221005,190,"12:20",280,17,0.68,NA,NA,0.68,2022-10-05,2022-10-05 12:20:00,0.68
221005,190,"12:20",290,15,0.86,NA,NA,0.86,2022-10-05,2022-10-05 12:20:00,0.86
221005,190,"12:20",300,18,0.64,NA,NA,0.64,2022-10-05,2022-10-05 12:20:00,0.64
221005,190,"12:20",310,18,0.54,NA,NA,0.54,2022-10-05,2022-10-05 12:20:00,0.54
221005,190,"12:20",320,17,0.53,NA,NA,0.53,2022-10-05,2022-10-05 12:20:00,0.53
221005,190,"12:20",330,20,0.51,NA,NA,0.51,2022-10-05,2022-10-05 12:20:00,0.51
221005,190,"12:20",340,19,0.69,NA,NA,0.69,2022-10-05,2022-10-05 12:20:00,0.69
221005,190,"12:20",350,15,0.44,NA,NA,0.44,2022-10-05,2022-10-05 12:20:00,0.44
221005,190,"12:20",360,15,0.25,NA,NA,0.25,2022-10-05,2022-10-05 12:20:00,0.25
221005,190,"12:20",370,14,0.06,NA,NA,0.06,2022-10-05,2022-10-05 12:20:00,0.06
221005,190,"12:20",380,14,0.04,NA,NA,0.04,2022-10-05,2022-10-05 12:20:00,0.04
221005,190,"12:20",390,11,0,NA,NA,0,2022-10-05,2022-10-05 12:20:00,0
221005,190,"12:20",400,11,0,NA,NA,0,2022-10-05,2022-10-05 12:20:00,0
221005,190,"12:20",410,10,0.07,NA,NA,0.07,2022-10-05,2022-10-05 12:20:00,0.07
