Site:Vault,,,,,,,,,,,,,,
Date,width,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s),transect Q (L/s),Q (L/s),Date,Date calculated,By: ,Notes:
8/9/2019,200,12:00,330,30,0,,,0,,290.9,8/9/2019,8/15/2019,AC,
,,,310,40,0.03,,,0.03,1.05,,,,,
,,,290,68,0.14,,,0.14,9.18,,,,,
,,,270,75,0.29,,,0.29,30.745,,,,,
,,,250,90,,0.24,0.24,0.24,43.725,,,,,
,,,230,92,,0.32,0.27,0.295,48.685,,,,,
,,,210,94,,0.31,0.27,0.29,54.405,,,,,
,,,190,86,,0.36,0.29,0.325,55.35,,,,,
,,,170,76,,0.02,0.25,0.135,37.26,,,,,
,,,150,61,,0.01,,0.01,9.9325,,,,,
,,,130,48,,0,,0,0.545,,,,,
7/11/2019,208,13:00,253,12,0,,,0,,7,7/11/2019,8/16/2019,AC,
,,,243,18,0,,,0,0,,,,,
,,,233,28,0.02,,,0.02,0.23,,,,,
,,,223,34,0.02,,,0.02,0.62,,,,,
,,,213,39,0.01,,,0.01,0.5475,,,,,
,,,203,57,,0.01,0.02,0.015,0.6,,,,,
,,,193,67,,0,0.01,0.005,0.62,,,,,
,,,183,70,,0,0.01,0.005,0.3425,,,,,
,,,173,80,,0.01,0.01,0.01,0.5625,,,,,
,,,163,62,,0,0.02,0.01,0.71,,,,,
,,,153,80,,0,0.02,0.01,0.71,,,,,
,,,143,80,,0,0.02,0.01,0.8,,,,,
,,,133,78,,0,0.01,0.005,0.5925,,,,,
,,,123,75,,0,0,0,0.19125,,,,,
,,,113,52,,0,0.01,0.005,0.15875,,,,,
,,,103,46,,0,0.01,0.005,0.245,,,,,
,,,93,44,,0,0,0,0.1125,,,,,
,,,83,38,,0,0,0,0,,,,,
,,,73,37,,0,0,0,0,,,,,
,,,63,26,,0,0,0,0,,,,,
,,,53,21,,0,0,0,0,,,,,
,,,45,15,,0,0,0,0,,,,,
6/28/2019,210,12:00,100,11,0,,,0,,16.3,6/28/2019,8/16/2019,AC,"270 was skipped, 300 has no data"
,,,110,45,0,,,0,0,,,,,
,,,120,47,0,,,0,0,,,,,
,,,130,49,,0,0.01,0.005,0.12,,,,,
,,,140,70,,0,0.01,0.005,0.2975,,,,,
,,,150,50,,0.01,0.02,0.015,0.6,,,,,
,,,160,52,,0,0.04,0.02,0.8925,,,,,
,,,170,81,,0.02,0.03,0.025,1.49625,,,,,
,,,180,83,,0.03,0.02,0.025,2.05,,,,,
,,,190,84,,0.03,0.03,0.03,2.29625,,,,,
,,,200,82,,0.02,0.02,0.02,2.075,,,,,
,,,210,82,,0.03,0.02,0.025,1.845,,,,,
,,,220,78,,0.02,0.03,0.025,2,,,,,
,,,230,78,,0,0.03,0.015,1.56,,,,,
,,,240,48,,0.01,0.01,0.01,0.7875,,,,,
,,,250,46,,0,0,0,0.235,,,,,
,,,260,40,,0,0,0,0,,,,,
,,,280,36,,0,0,0,0,,,,,
,,,290,38,,0,0,0,0,,,,,
,,,310,11,,0,0,0,0,,,,,
6/14/2019,200,11:30,250,29,0,,,0,,42.2,6/14/2019,8/16/2019,AC,
,,,230,39,0.05,,,0.05,1.7,,,,,
,,,210,39,0,,,0,1.95,,,,,
,,,190,50,0.01,,,0.01,0.445,,,,,
,,,170,86,0.08,,,0.08,6.12,,,,,
,,,150,86,0.08,,,0.08,13.76,,,,,
,,,130,84,0.01,,,0.01,7.65,,,,,
,,,110,51,0.06,,,0.06,4.725,,,,,
,,,90,44,0.04,,,0.04,4.75,,,,,
,,,70,10,0,,,0,1.08,,,,,
,,,50,24,0,,,0,0,,,,,
,,,30,blank,,,,,,,,,,
8/22/2019,200,12:00,280,41,0,,,0,,228.6,6/14/2019,,,
,,,270,41,0,,,0,0,,,,,
,,,260,52,0,,,0,0,,,,,
,,,250,74,0.11,,,0.11,3.465,,,,,
,,,240,75,0.14,,,0.14,9.3125,,,,,
,,,230,70,0,,,0,5.075,,,,,
,,,220,70,0.14,,,0.14,4.9,,,,,
,,,210,83,0.14,0.21,,0.175,12.04875,,,,,
,,,200,84,0.28,0.22,,0.25,17.74375,,,,,
,,,190,88,0.28,0.21,,0.245,21.285,,,,,
,,,180,90,0.23,0.2,,0.215,20.47,,,,,
,,,170,90,0.18,0.24,,0.21,19.125,,,,,
,,,160,88,0.19,0.26,,0.225,19.3575,,,,,
,,,150,87,0.25,0.3,,0.275,21.875,,,,,
,,,140,62,0.25,,,0.25,19.55625,,,,,
,,,130,50,0.22,,,0.22,13.16,,,,,
,,,120,46,0.22,,,0.22,10.56,,,,,
,,,110,42,0.26,,,0.26,10.56,,,,,
,,,100,36,0.22,,,0.22,9.36,,,,,
,,,90,34,0.18,,,0.18,7,,,,,
,,,80,34,0.04,,,0.04,3.74,,,,,
